,tags,words
0,-,-
1,-,-
2,-,-
3,*,te
4,*,sabes
5,*,una
6,*,de
7,ar,jose
8,ar,jose
9,-,-
10,-,-
11,-,-
12,*,te
13,*,sabes
14,*,una
15,*,de
16,ar,green
17,ar,day
18,-,-
19,-,-
20,-,-
21,*,te
22,*,sabes
23,*,una
24,*,de
25,ar,muse
26,-,-
27,-,-
28,-,-
29,*,te
30,*,sabes
31,*,una
32,*,de
33,ar,queen
34,-,-
35,-,-
36,-,-
37,*,te
38,*,sabes
39,*,una
40,*,de
41,ar,eric
42,ar,clapton
43,-,-
44,-,-
45,-,-
46,*,te
47,*,sabes
48,*,una
49,*,de
50,ar,maluma
51,-,-
52,-,-
53,-,-
54,*,te
55,*,sabes
56,*,una
57,*,de
58,ar,tame
59,ar,impala
60,-,-
61,-,-
62,-,-
63,*,te
64,*,sabes
65,*,una
66,*,de
67,ar,vicente
68,ar,fernandez
69,-,-
70,-,-
71,-,-
72,*,te
73,*,sabes
74,*,una
75,*,de
76,ar,joan
77,ar,sebastian
78,-,-
79,-,-
80,-,-
81,-,-
82,-,-
83,-,-
84,*,cual
85,*,puedes
86,*,poner
87,*,de
88,ar,jose
89,ar,jose
90,*,plox
91,-,-
92,-,-
93,-,-
94,*,cual
95,*,puedes
96,*,poner
97,*,de
98,ar,green
99,ar,day
100,*,plox
101,-,-
102,-,-
103,-,-
104,*,cual
105,*,puedes
106,*,poner
107,*,de
108,ar,muse
109,*,plox
110,-,-
111,-,-
112,-,-
113,*,cual
114,*,puedes
115,*,poner
116,*,de
117,ar,queen
118,*,plox
119,-,-
120,-,-
121,-,-
122,*,cual
123,*,puedes
124,*,poner
125,*,de
126,ar,eric
127,ar,clapton
128,*,plox
129,-,-
130,-,-
131,-,-
132,*,cual
133,*,puedes
134,*,poner
135,*,de
136,ar,maluma
137,*,plox
138,-,-
139,-,-
140,-,-
141,*,cual
142,*,puedes
143,*,poner
144,*,de
145,ar,tame
146,ar,impala
147,*,plox
148,-,-
149,-,-
150,-,-
151,*,cual
152,*,puedes
153,*,poner
154,*,de
155,ar,vicente
156,ar,fernandez
157,*,plox
158,-,-
159,-,-
160,-,-
161,*,cual
162,*,puedes
163,*,poner
164,*,de
165,ar,joan
166,ar,sebastian
167,*,plox
168,-,-
169,-,-
170,-,-
171,-,-
172,-,-
173,-,-
174,*,quisiera
175,*,que
176,*,pusieras
177,*,una
178,*,cancion
179,*,de
180,ar,jose
181,ar,jose
182,-,-
183,-,-
184,-,-
185,*,quisiera
186,*,que
187,*,pusieras
188,*,una
189,*,cancion
190,*,de
191,ar,green
192,ar,day
193,-,-
194,-,-
195,-,-
196,*,quisiera
197,*,que
198,*,pusieras
199,*,una
200,*,cancion
201,*,de
202,ar,muse
203,-,-
204,-,-
205,-,-
206,*,quisiera
207,*,que
208,*,pusieras
209,*,una
